"id","eigen.centrality","betweenness.centrality","community","ingredients"
0,0.199784476405523,0.085727022816466,2,"salt"
1,0.167356445926814,0.00866290378520756,1,"white sugar"
2,0.158290370685225,0.0293024663035745,1,"butter"
3,0.153264835880382,0.0134954992575088,1,"all-purpose flour"
4,0.17002158838724,0.0325298396383953,1,"flour"
5,0.661019443762509,0.000236572759580003,2,"ground black pepper"
6,0.391909248132306,0.0430749076172522,2,"water"
7,0.186998910495927,0.0139100441848462,1,"egg"
8,0.723253202303855,0.0738448846675241,2,"onion"
9,0.789615340955635,0.0101374683068466,2,"olive oil"
10,0.195018912935197,0.0240418694717395,1,"milk"
11,0.175506501778847,0.00959530431287333,1,"vanilla extract"
12,0.800307320462007,0.0302713294217077,2,"garlic"
13,0.469722525841477,0.0205154160793947,2,"vegetable oil"
14,0.271818947368095,0.0105511450772681,1,"brown sugar"
15,0.668570479801291,0.0873318108754885,2,"pepper"
16,0.271878430441493,0.00386980945257932,1,"ground cinnamon"
17,0.582461437389004,0.00357072939505524,2,"parmesan cheese"
18,0.588823915696699,0.00624899348057564,2,"garlic powder"
19,0.440316367061575,0.0110196335546865,1,"lemon juice"
20,0.191834627849447,0.00150538409215312,1,"baking soda"
21,0.447774345507215,0.00412917133120143,2,"cheddar cheese"
22,0.839817325557976,0.0149418486793814,2,"tomato"
23,0.418754657823572,0.00378646638865388,2,"sour cream"
24,0.543521527737781,0.00234749630056634,2,"mayonnaise"
25,0.182777008013325,0.0010378815929464,1,"confectioners sugar"
26,0.708664820218127,0.0024330097567815,2,"soy sauce"
27,0.7423739073551,0.00410594813370137,2,"fresh parsley"
28,0.751897996268614,0.00440112148510395,2,"green bell pepper"
29,0.31472909713141,0.00325385212075542,1,"cream cheese"
30,0.676698155049244,0.00010765145757035,2,"worcestershire sauce"
31,0.522603783291688,0.00390236533692519,1,"honey"
32,0.849943796719471,0.0093826058684803,2,"carrot"
33,0.92680398422386,0.00345461340755496,2,"ground cumin"
34,0.787377218992407,0.00779561502623353,2,"green onion"
35,0.295151673738043,0.00452960870865566,1,"margarine"
36,0.414002556286402,0.00428392030145881,1,"heavy cream"
37,0.826901290787652,0.00164765330674458,2,"cayenne pepper"
38,0.463938747860994,0.00197766145439724,1,"cornstarch"
39,0.232627673443772,0.00110635746968722,1,"walnut"
40,0.529769285134112,0.00750130983174685,2,"potato"
41,0.232207925118992,0.00168943335832178,1,"pecan"
42,0.774017742347065,0.00703879923480649,2,"celery"
43,0.715778472435439,0.00648231065172106,2,"basil"
44,0.745686375886635,0.00146255501763588,2,"chili powder"
45,0.514666876699203,0.00096857373249452,2,"ground beef"
46,0.858445142297049,0.00140626951092235,2,"red pepper flake"
47,0.733410582065785,0.00261054784608099,2,"paprika"
48,0.543092616559948,0.0035250064641517,2,"white vinegar"
49,0.67907313664027,0.0448411728626302,2,"black pepper"
50,0.636468459048103,0.00171634622271437,2,"skinless boneless breast"
51,0.749343386687783,0.00858390150586158,2,"parsley"
52,0.583421268649761,0.00335369016608276,1,"ground ginger"
53,0.147173970407161,7.72659655142028e-05,1,"semisweet chocolate chip"
54,0.97621316125075,0.00250116007467886,2,"red bell pepper"
55,0.551764000536726,0.000982753628787389,2,"mozzarella cheese"
56,0.985511401560888,0.00150136886641713,2,"fresh cilantro"
57,0.847388064185221,0.00246382932729559,2,"thyme"
58,0.848012079641161,0.00250723717309009,2,"red onion"
59,0.449842818308086,0.0151766851251296,2,"cheese"
60,0.516887287108939,0.00492635641921735,2,"bacon"
61,0.470881584247743,0.000644208604795149,2,"lean ground beef"
62,0.770913809824044,0.00544551425491952,2,"bean"
63,0.645588623258274,0.00113055734371765,2,"small onion"
64,0.670253248430466,0.000616825488739788,2,"fresh mushroom"
65,0.377923571291279,0.000681503178973587,1,"raisin"
66,0.593964551633911,0.00115681909042332,2,"onion powder"
67,0.887136619362247,0.00227630743346337,2,"large onion"
68,0.146465051888915,0.00051546816880964,1,"shortening"
69,0.364328672152913,0.00087043582779413,1,"ground clove"
70,0.422191591891136,0.0010205184546286,1,"unsalted butter"
71,0.529450596967023,0.000888124524955388,2,"ketchup"
72,0.152028403542936,0.000169941716285452,1,"unsweetened cocoa powder"
73,0.65054613904794,0.000452092713949676,2,"balsamic vinegar"
74,0.592031909226251,0.00107347602649789,1,"fresh lemon juice"
75,0.720538085583793,0.000936415753401764,2,"fresh basil"
76,0.669496283115493,3.16153810203246e-05,2,"extra virgin olive oil"
77,0.48158313095866,0.000911564761684415,2,"garlic salt"
78,0.2593000323594,0.00257842604019306,1,"egg white"
79,0.402119497978502,0.00276681609094117,1,"coconut"
80,0.655984724993256,0.00103853271063332,2,"red wine vinegar"
81,0.401747358308822,0.00149062542458299,1,"lemon zest"
82,0.25031549052598,0.00138818290850798,1,"buttermilk"
83,0.616680283097798,0.000696478885772688,2,"hot pepper sauce"
84,0.434976485737666,0.0225859703237921,1,"lemon"
85,0.963940033312151,0.00127619066635818,2,"bay leaf"
86,0.144377932628024,0.000116333026729249,1,"condensed milk"
87,0.925283167037587,0.00107434418341378,2,"fresh ginger root"
88,0.262033060744059,0.000750304614557863,1,"oat"
89,0.193479138990421,0.000134130243504993,1,"active dry yeast"
90,0.257255240586559,0.000288228096075453,1,"egg yolk"
91,0.60390643790067,0.00200761286799544,2,"zucchini"
92,0.748704109200697,0.00130483984458255,2,"curry powder"
93,0.61174385814084,0.000702990062641862,2,"dijon mustard"
94,0.697425528341112,0.00251613578147796,2,"canola oil"
95,0.704862944416134,0.000195226786460746,2,"sesame oil"
96,0.70156484148917,0.00623727336221113,2,"mushroom"
97,0.443025907894169,0.00195704272764485,1,"cold water"
98,0.169839913166906,0.0436023129436553,1,"sugar"
99,0.688485695474194,0.00173240712565833,2,"white wine"
100,0.411693992301637,0.00010504698682268,2,"cream mushroom soup"
101,0.874705159231175,0.00111232604848396,2,"chicken broth"
102,0.272183505180348,0.000356378413972812,1,"peanut butter"
103,0.402370626413187,0.00298949833986694,1,"almond"
104,0.695860209496902,0.00210658275640689,2,"lime juice"
105,0.804073522579361,0.00105137419834752,2,"kosher salt"
106,0.505282774312735,0.000254804054813691,2,"dry bread crumb"
107,0.644463964023126,0.000406731515094427,2,"italian seasoning"
108,0.819056974272628,0.000620732194861292,2,"chicken stock"
109,0.546602890903965,0.000485516755211437,2,"black olive"
110,0.333253625327907,0.000493330167454447,1,"pineapple"
111,0.307536997534875,0.000806517774861735,1,"heavy whipping cream"
112,0.537380670948814,0.00174412724402285,2,"bread crumb"
113,0.628647569270005,0.000424528731870171,2,"fresh lime juice"
114,0.24507973341441,9.98380453273407e-05,1,"whole wheat flour"
115,0.363750883014407,0.00801091794137423,1,"apple"
116,0.435083577055855,0.000366000486457259,1,"ground allspice"
117,0.63030317432922,9.33268684581663e-05,2,"feta cheese"
118,0.836723824592241,0.000236572759580003,2,"ground turmeric"
119,0.475928530807332,0.0185092534280656,2,"corn"
120,0.71505787186258,0.00034661164866905,2,"sea salt"
121,0.182099321362881,0.000157136401776075,1,"almond extract"
122,0.475355732496244,0.000535182565441307,2,"sharp cheddar cheese"
123,0.687000025380174,0.000526537169487236,2,"black bean"
124,0.239135113346961,7.98704362618726e-05,1,"light brown sugar"
125,0.657700049120135,0.000267717888937554,2,"dry white wine"
126,0.259214211252332,0.000167554284766754,1,"fresh strawberry"
127,0.815130822524388,0.0006695660213801,2,"tomato paste"
128,0.591940556727381,0.000200110169112626,2,"monterey jack cheese"
129,0.736434696985249,0.000917858899324617,2,"jalapeno pepper"
130,0.327591281275,0.00109680774361243,1,"hot water"
131,0.377104906391021,7.52040928389643e-05,1,"molass"
132,0.672752201104433,0.00242128963841699,1,"lime"
133,0.453506458326315,0.000426662950955067,2,"dill weed"
134,0.593604822534611,0.000580362898272411,2,"cider vinegar"
135,0.673728055667318,0.00113323416087497,2,"red wine"
136,0.367334699943348,0.000560178249977971,1,"cranberry"
137,0.933331725657154,0.000603911654615925,2,"ground coriander"
138,0.532785866306598,0.000562999759954613,2,"apple cider vinegar"
139,0.332140229365762,6.83673571263312e-05,2,"container sour cream"
140,0.701146499239186,0.000596062069168087,2,"stalk celery"
141,0.619328136033466,0.00172090404652279,2,"sesame seed"
142,0.763108609909592,0.000688882512758651,2,"fresh thyme"
143,0.625543129631242,0.000436248850234684,2,"ground white pepper"
144,0.426680188953176,0.0003186135881316,2,"cream chicken soup"
145,0.492302283799106,0.000188064491904654,2,"white wine vinegar"
146,0.59902117861851,0.000647862098482852,2,"tortilla"
147,0.943659121462336,0.00146306144250349,2,"fresh ginger"
148,0.146887126335418,3.92841004440189e-05,1,"light corn syrup"
149,0.449583446867155,0.000130657615841433,2,"uncooked white rice"
150,0.150892894323446,7.72659655142028e-05,1,"bread flour"
151,0.766588378729217,0.00236268904659442,2,"sage"
152,0.369446475375215,0.000200544247570571,2,"swiss cheese"
153,0.497406099374738,2.06187267523856e-06,2,"oregano"
154,0.703312156353268,0.00134054279774852,2,"rice vinegar"
155,0.659137320882356,0.00103321524952349,2,"rosemary"
156,0.639129494877552,0.000780038988927093,2,"cucumber"
157,0.629511516698826,0.00021067274492262,2,"green chile pepper"
158,0.300969943949846,0.000166035010163947,2,"cornmeal"
159,0.42457810443009,0.000333372255701729,2,"yellow mustard"
160,0.102837170458997,1.0417882990679e-05,1,"quick cooking oat"
161,0.644080670429644,0.000504616207361016,2,"beef broth"
162,0.681354410167241,0.000184266305397635,2,"vegetable broth"
163,0.391030717457669,0.000115247830584387,1,"maple syrup"
164,0.257262771717449,2.56106290187526e-05,1,"ice cube"
165,0.362932432674124,0.000263955875635364,1,"half-and-half cream"
166,0.646925639910568,0.000206187267523856,2,"fresh rosemary"
167,0.562305880793329,0.000361804394697124,2,"large potato"
168,0.386761238058224,0.0383868602714466,1,"ice"
169,0.409212742607275,0.004338375444008,1,"ham"
170,0.419329284246928,0.00150885671981668,1,"half-and-half"
171,0.167140263240875,0.000120890850537671,1,"pie shell"
172,0.271123688640376,0.000245362848353388,1,"boiling water"
173,0.235109205979748,0.000128197837913078,1,"fresh blueberry"
174,0.10147933187971,2.77810213084774e-05,1,"cream tartar"
175,0.161023948966798,6.55458471496889e-05,1,"graham cracker crumb"
176,0.52257135885859,0.000935041171618272,1,"plain yogurt"
177,0.252556587780697,0.00016017495098169,1,"warm water"
178,0.246058837367748,0.00113120846140457,1,"banana"
179,0.455812562484318,0.000150842264135874,2,"spaghetti"
180,0.75467623322729,0.0004187771923024,2,"ground cayenne pepper"
181,0.587262080339922,0.000924587115422764,2,"fresh dill"
182,0.394367215938699,0.000116550065958222,2,"prepared mustard"
183,0.686080422061465,0.0118446988819441,2,"vinegar"
184,0.264961317359977,0.000744878633833551,1,"strawberry"
185,0.562307867806992,0.000282042478049738,2,"salsa"
186,0.285553654734909,0.0200865465629451,1,"cream"
187,0.452426336063473,0.001928285029806,1,"large egg"
188,0.549760417940574,0.000131525772757323,2,"fresh chive"
189,0.412185878621202,8.58390150586158e-05,2,"elbow macaroni"
190,0.523697468472359,2.53935897897801e-05,2,"celery salt"
191,0.224395120403301,2.4416913259404e-05,1,"pumpkin puree"
192,0.978783396094198,0.0019077748226681,2,"cilantro"
193,0.192849203779605,0.000128270184322736,1,"cocoa powder"
194,0.313440470372638,0.0012058699561711,1,"whole milk"
195,0.691708770234846,0.000229193425794939,2,"fresh spinach"
196,0.386250311057927,0.00172502779187327,2,"sweet potato"
197,0.72025193095936,9.97295257128545e-05,2,"tomato sauce"
198,0.728555909062036,0.000411614897746308,2,"ground turkey"
199,0.116445501800392,0.000364191826215821,1,"graham cracker crust"
200,0.111609487077449,1.82312952336883e-05,1,"single crust pie"
201,0.723276854087732,0.00105437657434831,2,"whole clove"
202,0.481358826923337,0.000157244921390562,2,"celery seed"
203,0.533322112736656,0.000244603211051985,2,"fresh green bean"
204,0.100849417385232,0.000231038259241205,1,"yellow cake mix"
205,0.822288015598914,0.000345092374066243,2,"shallot"
206,0.309258317996546,0.0003186135881316,2,"pork chop"
207,0.756204063769211,6.20732194861292e-05,2,"fish sauce"
208,0.498144213378127,0.000849057463740341,2,"dry mustard"
209,0.783678511812131,0.0010977844201428,2,"yellow onion"
210,0.511657610204532,6.1530621413698e-05,2,"penne pasta"
211,0.542900936527815,0.000855568640609516,2,"beer"
212,0.720356776648267,0.000835058433471616,2,"sweet onion"
213,0.582564948578398,2.63702663201563e-05,2,"cherry tomato"
214,0.391557995298468,0.00230745256282092,1,"orange juice"
215,0.289298182847829,0.000115790428656818,1,"ground nutmeg"
216,0.523539401835976,2.30061582710829e-05,2,"caper"
217,0.125063642584494,4.16353587578874e-05,1,"instant vanilla mix"
218,0.427944272267185,0.000464029871543162,1,"peanut"
219,0.542869510447709,0.000134130243504993,2,"ground pork"
220,0.153182791301396,3.03854920561472e-06,1,"self-rising flour"
221,0.240719855307616,2.60447074766976e-06,1,"butter room temperature"
222,0.217163997068106,0.00112686767682512,1,"pie crust"
223,0.607104275426005,0.00101357319930148,2,"roma plum tomato"
224,0.722094082818184,0.000441240752501052,2,"bouillon"
225,0.449914075655757,0.000912071186552018,2,"frozen green pea"
226,0.30966033471618,0.000262508947442214,1,"skim milk"
227,0.251358485218018,0.000642978715830972,1,"applesauce"
228,0.368415744342204,7.17314651754046e-05,2,"dry onion soup mix"
229,0.320953611742072,6.59799256076339e-05,2,"cottage cheese"
230,0.457814601661129,0.000134672841577424,2,"romano cheese"
231,0.203792312472658,0.000259036319778655,1,"fresh peach"
232,0.141014537014711,2.51765505608077e-05,1,"cold milk"
233,0.466270387069733,4.77486303739456e-05,2,"prepared horseradish"
234,0.513866416972364,1.72546187033121e-05,2,"poultry seasoning"
235,0.481965428820495,0.000139013626156873,2,"barbeque sauce"
236,0.442584950464712,0.000276073899252994,2,"blue cheese"
237,0.354018176656537,0.000107289725522063,1,"dark brown sugar"
238,0.397706688645783,3.15792078154958e-05,2,"frozen mixed vegetable"
239,0.630024486847306,0.00136181264218782,2,"white rice"
240,0.231069140974316,3.03854920561472e-05,1,"creamy peanut butter"
241,0.502551820590653,0.000196529021834581,2,"cajun seasoning"
242,0.708068415664177,0.000142016002157659,2,"peanut oil"
243,0.332231745026337,0.000199242012196737,1,"poppy seed"
244,0.491850616412697,0.000183108762843115,2,"minced onion"
245,0.583536714560497,0.000227240072734186,2,"marjoram"
246,0.449360274881541,0.000125448674346093,1,"ground cardamom"
247,0.149440000780601,3.47262766355968e-06,1,"ripe banana"
248,0.331500987159075,6.66310432945513e-05,1,"pineapple juice"
249,0.612689493124745,0.000480090774487125,2,"coconut milk"
250,0.517226366233032,0.000755115650800086,2,"mustard powder"
251,0.530944941574051,0.000143245891121837,2,"pine nut"
252,0.35980325499132,0.00023234049461504,2,"lemon pepper"
253,0.800217894518513,0.000611616547244448,2,"large carrot"
254,0.169587052665314,1.64949814019085e-05,1,"semi-sweet chocolate chip"
255,0.599699325285563,0.000242107259918801,2,"hot sauce"
256,0.533288468567855,0.000109858023064904,2,"fresh basil leaf"
257,0.368820574135727,0.000293726423209423,1,"apple juice"
258,0.900429142748943,0.00188932648820544,2,"red pepper"
259,0.401836870470257,0.000179925520818186,2,"whole chicken"
260,0.457443618901021,0.000199965476293311,2,"dry mustard powder"
261,0.121824749366678,6.07709841122944e-06,1,"rhubarb"
262,0.353703102923251,5.77324349066796e-05,2,"egg noodle"
263,0.180621142800618,8.68156915889919e-07,1,"vegetable shortening"
264,0.669582289471403,0.000381989042991565,2,"large tomato"
265,0.594259553796467,0.000292785919883875,2,"broccoli floret"
266,0.550852891048689,0.000123422974875684,2,"water chestnut"
267,0.695824267257702,0.000121324928995616,2,"thyme leaf"
268,0.792844851203274,0.0206931712079231,2,"chicken"
269,0.44571574985184,0.000521436747606383,2,"hard-cooked egg"
270,0.464158742957478,0.000540138294502845,2,"frozen spinach"
271,0.571530814797128,2.6695825163615e-05,2,"fresh mint leaf"
272,0.53561620750448,0.00035442506091206,2,"red potato"
273,0.647742921575109,0.00106284110427823,2,"spinach"
274,0.529330292218085,9.45567574223437e-05,2,"dry sherry"
275,0.545374230088339,7.66148478272854e-05,2,"hamburger bun"
276,0.679834960189643,0.000982753628787389,2,"white pepper"
277,0.557524032890186,5.43683268576062e-05,2,"beef stock"
278,0.77108064492171,0.000939345782992893,2,"shrimp"
279,0.747090432442437,0.000209985454030874,2,"yellow bell pepper"
280,0.507273057812043,0.000207109684246989,2,"baby carrot"
281,0.646642139128403,9.30374828195364e-05,2,"small red onion"
282,0.626375689167369,0.00131091694299378,2,"green chile"
283,0.158024784259497,2.30061582710829e-05,1,"pumpkin pie spice"
284,0.738166609069179,0.0011735311110542,2,"fresh mint"
285,0.624398752214056,0.000377141833544512,2,"garam masala"
286,0.559758798030623,0.000357680649346647,2,"frozen pea"
287,0.137878411387356,0.000354642100141032,1,"unbaked pie crust"
288,0.374124367054463,3.78733454556977e-05,2,"lasagna noodle"
289,0.292120296712782,6.53288079207164e-05,2,"cream celery soup"
290,0.335183789376057,0.000506135481963823,1,"brandy"
291,0.647002278266979,0.000160066431367204,2,"white onion"
292,0.35367598461872,0.000164841294404598,2,"skinless boneless chicken breast"
293,0.508767578680635,6.09880233412668e-05,2,"crabmeat"
294,0.465752045646909,0.000109279251787644,2,"teriyaki sauce"
295,0.243377193372987,5.52364837734961e-05,2,"saltine cracker"
296,0.585875739674103,0.000168205402453672,2,"tarragon"
297,0.487024179194253,0.000179382922745755,2,"large shrimp"
298,0.136324504786718,2.1269844439303e-05,1,"vanilla ice cream"
299,0.386369791809533,9.24587115422764e-05,2,"ricotta cheese"
300,0.466087500558696,0.00758031211109283,2,"bread"
301,0.272588965118057,2.02931679089269e-05,2,"ranch mix"
302,0.294793886070737,7.24911024768083e-05,2,"seasoning salt"
303,0.0939950611827831,2.69128643925875e-05,1,"unsweetened chocolate"
304,0.388166800433116,0.000194792708002801,1,"lime zest"
305,0.492036330930884,8.07385931777625e-05,2,"sun-dried tomato"
306,0.319181751482138,5.24511470016826e-05,2,"tomato soup"
307,0.51486087799724,0.000270647918528682,2,"quinoa"
308,0.605123565766609,0.00076857208299638,2,"brown rice"
309,0.646246914834343,0.0358809253337304,2,"oil"
310,0.412492291188163,1.74716579322846e-05,2,"italian bread crumb"
311,0.189026710078544,4.03692965888813e-05,1,"date"
312,0.574416229477307,7.17314651754046e-05,2,"ground thyme"
313,0.433050667656822,0,1,"slivered almond"
314,0.423574859713923,0.00022944663822874,2,"fresh asparagu"
315,0.421329604270772,5.95049219432882e-05,1,"golden raisin"
316,0.307470462185098,0.000937935028004572,1,"nutmeg"
317,0.246770169186228,0.000320566941192353,2,"buttery round cracker"
318,0.481552057043693,4.66634342290832e-05,2,"liquid smoke flavoring"
319,0.571800223969869,0.000192730835327562,2,"cooked chicken"
320,0.179378056139882,0.000416281241169216,1,"chocolate chip"
321,0.526599205564932,4.60123165421657e-05,2,"frozen corn kernel"
322,0.513414621615832,0.000495066481286227,2,"avocado"
323,0.53860098264432,0.000116694758777537,2,"corn tortilla"
324,0.323780550136145,0.000221922611624361,2,"cooked ham"
325,0.464194307323326,0.00816060266295559,1,"rum"
326,0.105619016654626,0,1,"butterscotch chip"
327,0.400668721907068,0.000111775202920827,2,"macaroni"
328,0.170958996275781,5.01360618926428e-05,1,"corn syrup"
329,0.158036009721656,7.82064688397502e-05,1,"cornflakes cereal"
330,0.670342981526871,1.356495181078e-05,2,"cumin seed"
331,0.309568029577849,0.0050442087205494,1,"cinnamon"
332,0.411549467195907,4.3407845794496e-06,2,"linguine pasta"
333,0.135443110168848,0.000136734714252662,1,"frozen strawberry"
334,0.558989586063653,3.97181789019638e-05,2,"whole black peppercorn"
335,0.391517634854371,6.80779714877012e-05,2,"dijon-style mustard"
336,0.198945015592335,0.000124580517430203,1,"maraschino cherry"
337,0.106444609727561,4.77486303739456e-06,1,"milk chocolate chip"
338,0.523025049863009,0.000289313292220316,2,"peeled tomato"
339,0.0899314646975317,2.38743151869728e-06,1,"lemon extract"
340,0.686200442693872,0.000551713720048044,2,"cabbage"
341,0.200125225862917,5.97943075819182e-05,1,"eggs room temperature"
342,0.235893962947009,1.73631383177984e-06,1,"vodka"
343,0.259477316624852,0.000172256801394492,1,"wheat germ"
344,0.254667785210537,0.000511344423459163,1,"blueberry"
345,0.489575419115283,0.000447534890141253,2,"head cabbage"
346,0.346872167009733,2.9842893983716e-05,2,"dry fettuccine pasta"
347,0.129097056630483,2.30061582710829e-05,1,"white cake mix"
348,0.449865256870937,6.29413764020192e-05,2,"tomato juice"
349,0.49886240283359,0.000341185667944738,2,"butternut squash"
350,0.26929796380855,9.78846922665884e-05,2,"sweet pickle relish"
351,0.412337241726778,2.27891190421104e-05,2,"rotini pasta"
352,0.435106751058729,3.54497407321717e-05,2,"pork tenderloin"
353,0.700631457220285,0.000272275712745976,2,"lettuce"
354,0.421058366739227,0.00410618687685324,1,"orange"
355,0.120974080136912,5.78771277259946e-06,1,"instant coffee granule"
356,0.196759621382742,7.20570240188633e-05,1,"flaked coconut"
357,0.139342928252557,2.30061582710829e-05,1,"jell-o® mix"
358,0.256421727826755,2.63702663201563e-05,1,"philadelphia cream cheese"
359,0.213829040830927,0.000251982544837049,1,"fresh raspberry"
360,0.277121642442092,4.3407845794496e-06,2,"frozen broccoli"
361,0.455232870709056,1.56268244860186e-05,2,"tortilla chip"
362,0.725487534120292,1.38905106542387e-05,2,"low-sodium chicken broth"
363,0.25861195310698,1.34564321962938e-05,1,"soy milk"
364,0.523213306704284,0.000379872910509083,2,"ground mustard"
365,0.490272393230872,4.30099405413798e-05,2,"firm tofu"
366,0.114332337118672,3.03854920561472e-06,1,"white chocolate chip"
367,0.559484899771526,0.000219535180105663,2,"ground pepper"
368,0.36281610359605,0.000152180672714537,2,"italian-style salad dressing"
369,0.226803893489902,4.99190226636704e-05,2,"wide egg noodle"
370,0.164905213622195,3.47262766355968e-06,1,"crunchy peanut butter"
371,0.363690099904488,0.000122518644754965,2,"dijon-style prepared mustard"
372,0.13617198407744,9.11564761684415e-06,1,"fresh blackberry"
373,0.208493490630668,0.000276761190144741,1,"ice water"
374,0.606807047645651,0.00183636891633615,2,"broccoli"
375,0.164539533159329,6.58352327883189e-05,1,"frozen blueberry"
376,0.837238049560265,0.00436722390370625,2,"ginger"
377,0.357826661368112,4.18885711916886e-05,2,"bulk pork sausage"
378,0.24439125569746,0.000203257237932727,2,"american cheese"
379,0.450298752956772,2.50680309463214e-05,2,"fresh sage"
380,0.333355710920757,0.000386221307956528,1,"cold butter"
381,0.549870135744509,3.62455512384041e-05,2,"chicken bouillon"
382,0.468101288262294,0.000202569947040981,2,"diced onion"
383,0.236788066656058,2.08357659813581e-05,1,"warm milk"
384,0.526428134344213,9.01797996380654e-05,2,"dry red wine"
385,0.400654709341442,1.17201183645139e-05,2,"light soy sauce"
386,0.57574286670595,0.000463378753856244,2,"basil leaf"
387,0.298355364448884,0.000571681329113512,1,"pumpkin"
388,0.442440811015273,3.51603550935417e-05,2,"grape tomato"
389,0.468379156522344,3.02407992368322e-05,2,"dry lentil"
390,0.22606689148864,5.36448627610313e-05,1,"cranberry sauce"
391,0.0963671338166881,3.34240412617619e-05,1,"instant chocolate pudding mix"
392,0.945144924239358,0.00155573719327474,2,"cumin"
393,0.434112969149221,0.00029148368451004,2,"yellow squash"
394,0.347167605539788,1.01284973520491e-06,2,"beef brisket"
395,0.428355556803486,1.84483344626608e-06,2,"bacon dripping"
396,0.273247720888291,0.000119588615163836,2,"white bread"
397,0.369932230057386,6.48947294627715e-05,2,"gorgonzola cheese"
398,0.561656216351462,0.000393275082898134,1,"cinnamon stick"
399,0.608977680302521,6.27243371730467e-05,2,"beef bouillon"
400,0.445418722684857,0.000459255008505767,2,"goat cheese"
401,0.586414321157399,0.000465332106916997,2,"vegetable stock"
402,0.404900785845505,7.81341224300927e-06,2,"shredded cabbage"
403,0.272726069528678,1.73631383177984e-06,2,"tahini"
404,0.533646882489498,0.0112834354358213,1,"pea"
405,0.40907232221332,3.7547786612239e-05,1,"fresh pineapple"
406,0.222683164088161,1.06349222196515e-05,1,"tequila"
407,0.277503468931738,0,2,"container ricotta cheese"
408,0.137882512863234,7.00674977532823e-05,1,"red food coloring"
409,0.437197607358172,8.5947534673102e-05,1,"mango"
410,0.505983944606281,6.80056250780437e-06,2,"hoisin sauce"
411,0.288321700779559,1.15030791355414e-05,2,"onion salt"
412,0.451151592815967,9.26757507712489e-05,2,"chipotle peppers adobo sauce"
413,0.450637022149923,0.000272036969594106,1,"cashew"
414,0.373334515214917,0.00157505368465329,1,"granny smith"
415,0.374141368909414,0.0001474781560868,2,"marsala wine"
416,0.525412486350537,0.000238743151869728,2,"baby spinach"
417,0.490680180753761,2.95173351402573e-05,2,"arborio rice"
418,0.592615861157732,0.00120044397544679,2,"leek"
419,0.104966820143554,0,1,"marshmallow creme"
420,0.58043154400321,0.000398049945935528,2,"chive"
421,0.309940057243631,0.000176452893154626,1,"sunflower seed"
422,0.526769021614491,0.00010765145757035,2,"beef stew meat"
423,0.462830208628511,0.000380614461208072,2,"fresh corn kernel"
424,0.549113125532001,3.41836785631656e-05,2,"green olive"
425,0.14725231372569,8.68156915889919e-07,1,"fresh cranberry"
426,0.194230107250657,0.00234532590827662,1,"chocolate"
427,0.188588081688497,0.000369400767711161,1,"graham cracker"
428,0.488176659413757,4.33354993848385e-05,2,"pork sausage"
429,0.401728806203445,3.73958591519583e-05,2,"angel hair pasta"
430,0.121110776232577,3.62455512384041e-05,1,"baking powder"
431,0.583646278860926,0.0002507888290777,2,"green pea"
432,0.175439706831105,5.3825728785175e-05,1,"dry milk powder"
